"Plot Title: 21044155"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 21044155, SEN S/N: 21044155)","Intensity, Lux (LGR S/N: 21044155, SEN S/N: 21044155)","Coupler Attached (LGR S/N: 21044155)","Host Connected (LGR S/N: 21044155)","Stopped (LGR S/N: 21044155)","End Of File (LGR S/N: 21044155)"
101,09/16/21 11:30:00 AM,21.282,115734.1,,,,
102,09/16/21 11:45:00 AM,21.760,115734.1,,,,
103,09/16/21 12:00:00 PM,22.142,115734.1,,,,
104,09/16/21 12:15:00 PM,22.621,115734.1,,,,
105,09/16/21 12:30:00 PM,23.004,115734.1,,,,
106,09/16/21 12:45:00 PM,23.484,115734.1,,,,
107,09/16/21 01:00:00 PM,23.773,115734.1,,,,
108,09/16/21 01:15:00 PM,24.062,115734.1,,,,
109,09/16/21 01:30:00 PM,24.351,121245.2,,,,
110,09/16/21 01:45:00 PM,24.351,115734.1,,,,
111,09/16/21 02:00:00 PM,24.448,115734.1,,,,
112,09/16/21 02:15:00 PM,24.641,121245.2,,,,
113,09/16/21 02:30:00 PM,25.028,121245.2,,,,
114,09/16/21 02:45:00 PM,25.610,121245.2,,,,
115,09/16/21 03:00:00 PM,26.000,121245.2,,,,
116,09/16/21 03:15:00 PM,26.097,121245.2,,,,
117,09/16/21 03:30:00 PM,26.390,121245.2,,,,
118,09/16/21 03:45:00 PM,26.292,121245.2,,,,
119,09/16/21 04:00:00 PM,26.390,121245.2,,,,
120,09/16/21 04:15:00 PM,26.488,121245.2,,,,
121,09/16/21 04:30:00 PM,26.390,121245.2,,,,
122,09/16/21 04:45:00 PM,26.390,121245.2,,,,
123,09/16/21 05:00:00 PM,26.195,121245.2,,,,
124,09/16/21 05:15:00 PM,25.805,121245.2,,,,
125,09/16/21 05:30:00 PM,25.319,121245.2,,,,
126,09/16/21 05:45:00 PM,25.028,121245.2,,,,
127,09/16/21 06:00:00 PM,24.545,121245.2,,,,
128,09/16/21 06:15:00 PM,24.062,115734.1,,,,
129,09/16/21 06:30:00 PM,23.773,115734.1,,,,
130,09/16/21 06:45:00 PM,23.581,115734.1,,,,
131,09/16/21 07:00:00 PM,23.292,115734.1,,,,
