"Plot Title: 21064695"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 21064695, SEN S/N: 21064695)","Intensity, Lux (LGR S/N: 21064695, SEN S/N: 21064695)","Coupler Attached (LGR S/N: 21064695)","Host Connected (LGR S/N: 21064695)","Stopped (LGR S/N: 21064695)","End Of File (LGR S/N: 21064695)"
1,09/15/21 10:00:00 AM,24.448,1722.2,,,,
2,09/15/21 10:15:00 AM,20.329,143289.8,,,,
3,09/15/21 10:30:00 AM,20.043,137778.7,,,,
4,09/15/21 10:45:00 AM,19.948,132267.5,,,,
5,09/15/21 11:00:00 AM,20.043,132267.5,,,,
6,09/15/21 11:15:00 AM,20.043,132267.5,,,,
7,09/15/21 11:30:00 AM,20.138,132267.5,,,,
8,09/15/21 11:45:00 AM,20.234,132267.5,,,,
9,09/15/21 12:00:00 PM,20.329,132267.5,,,,
10,09/15/21 12:15:00 PM,20.424,132267.5,,,,
11,09/15/21 12:30:00 PM,20.710,137778.7,,,,
12,09/15/21 12:45:00 PM,21.091,137778.7,,,,
13,09/15/21 01:00:00 PM,21.282,137778.7,,,,
14,09/15/21 01:15:00 PM,21.569,137778.7,,,,
15,09/15/21 01:30:00 PM,21.760,137778.7,,,,
16,09/15/21 01:45:00 PM,22.046,137778.7,,,,
17,09/15/21 02:00:00 PM,22.238,137778.7,,,,
18,09/15/21 02:15:00 PM,22.429,137778.7,,,,
19,09/15/21 02:30:00 PM,22.525,137778.7,,,,
20,09/15/21 02:45:00 PM,22.621,137778.7,,,,
21,09/15/21 03:00:00 PM,22.717,137778.7,,,,
22,09/15/21 03:15:00 PM,22.812,137778.7,,,,
23,09/15/21 03:30:00 PM,22.908,137778.7,,,,
24,09/15/21 03:45:00 PM,22.908,137778.7,,,,
25,09/15/21 04:00:00 PM,23.004,137778.7,,,,
26,09/15/21 04:15:00 PM,23.004,137778.7,,,,
27,09/15/21 04:30:00 PM,23.004,137778.7,,,,
28,09/15/21 04:45:00 PM,22.908,137778.7,,,,
29,09/15/21 05:00:00 PM,22.908,137778.7,,,,
30,09/15/21 05:15:00 PM,22.812,137778.7,,,,
31,09/15/21 05:30:00 PM,22.812,137778.7,,,,
32,09/15/21 05:45:00 PM,22.717,137778.7,,,,
33,09/15/21 06:00:00 PM,22.621,137778.7,,,,
34,09/15/21 06:15:00 PM,22.525,137778.7,,,,
35,09/15/21 06:30:00 PM,22.429,137778.7,,,,
36,09/15/21 06:45:00 PM,22.333,137778.7,,,,
37,09/15/21 07:00:00 PM,22.238,137778.7,,,,
38,09/15/21 07:15:00 PM,22.142,137778.7,,,,
39,09/15/21 07:30:00 PM,22.046,137778.7,,,,
40,09/15/21 07:45:00 PM,21.951,137778.7,,,,
41,09/15/21 08:00:00 PM,21.855,137778.7,,,,
42,09/15/21 08:15:00 PM,21.760,137778.7,,,,
43,09/15/21 08:30:00 PM,21.760,137778.7,,,,
44,09/15/21 08:45:00 PM,21.664,137778.7,,,,
